연대,명사
1990s,거리 바람 소리 마음 이여 듯 타오 거리 네온 품 님 뒷모습 꿈 힘 발길 님 모습 인생 세월 테 힘 거리 바람 소리 마음 이여 듯 타오 거리 네온 품 님 뒷모습 꿈 힘 발길 님 모습 인생 세월 테 힘
1990s,이제 사랑 추억 모습 세월 속 상처 사랑 날 사랑하고 있어요 세월 속 거짓 사랑은 라고 말 사람 세월 속 상처 사랑 날 사랑하고 있어요 세월 속 거짓 사랑은 라고 말 사람 날 사랑하고 있어요 세월 속 거짓 사랑은 라고 말 사람 사랑은 라고 말 사람
1990s,이제 거 이제 사랑 거 추억 날 사랑 할거 이제 거 이제 사랑 거 추억 날 사랑 할거 날 사랑 할거 날 사랑 할거
1990s,밤 잠 오질 창 벽 창가 별 내 사랑 노래 생각 잠 오질 불 창가 마음 얘기 속 그대에게 말 사랑합니다 사랑하는 사람아 귀 밤 사랑하는 사람아 마음 그리움 밤 사랑하는 사람아 귀 밤 사랑하는 사람아 마음 그리움 밤
1990s,마음 아픔 밤 아침 상속 눈물 날 창밖 꿈 이제 후회 지난날 날 사랑이란 사랑 마음 영원 기쁨 슬픔 슬픔 날 잠 세상 이제 후회 지난날 날 사랑이란 사랑 마음 영원 기쁨 슬픔 슬픔 날 잠 세상 사랑이란 사랑 마음 영원 기쁨 슬픔 슬픔 날 잠 세상 세상
1990s,시청 앞 지하철 역 신문 사려 모습 발 틈 곳 이름 넌 모습 너에게 누 군가 발 웃음 말 얘기 이야기 날씨 이야기 추억 엄마 미소 생활 허탈 어깨 짓 언가 날 열매 영혼 그날 노래 귀 생각 인사 채 사람 속 모습 그날 마음 날 열매 영혼 그날 노래 귀
1990s,사랑 사람 슬픈 음악 마음 사람 미련 사람 미련 때문 내 가슴 아픔 간 사람 정주 마음 사랑 지금 남이 이별 아픔 사람 사랑 사람 슬픈 음악 마음 사람 정주 마음 사랑 지금 남이 이별 아픔 사람 미련 사람 미련 때문 내 가슴 아픔 간 사람 미련 때문 내 가슴 아픔 간 사람
1990s,이제 그리워 사랑 빈자리 이별 눈물 순간 사랑 마지막 모습 이별 이제 후회 세월 아쉬움 사랑 마지막 모습 이별 이제 후회 세월 아쉬움
1990s,나나 나나 나나 나나 투명 미소 사랑 뺨 눈물 사랑 모습 그릴 넌 웃음 마음 사랑 거 마음 너에게 거 마음 그릴 내 사랑 나나 나나 나나 나나 향기 사랑 뒷모습 사랑 향기 그릴 넌 눈물 마음 사랑 거 마음 너에게 거 마음 그릴 마음 사랑 거 마음 너에게 거 마음 그릴 내 사랑 나나 나나 나나 나나 나나 나나 나나 나나
1990s,어둠 속 머리 낯선 모습 파도처럼 창가 눈 입 고운 입술 바람 속 만남 순간 뿐 날 이제 사랑 기약 이별 뒤 추억 서러움 내 가슴 눈물 모습 꽃향기 사랑으로 이제 꿈 기약 이별 뒤 추억 서러움 내 가슴 눈물 기약 이별 뒤 추억 서러움 내 가슴 눈물 기약 이별 뒤 추억 서러움
1990s,말도 커피잔 말 거 넌 작정 마음 꿈 눈 이제 서로 길 가야 기쁨 슬픔 넌 가야 밤 가야 생각 모습 보고 파 꿈 모습 보고 파 밤 이제 서로 길 가야 기쁨 슬픔 넌 가야 밤 가야 생각 모습 보고 파 꿈 모습 보고 파 밤 곁 곳 별 밤 밤 하늘 아래 남은 그리움 추억 간직 모습 보고 파 밤 모습 보고 파 생각 모습 보고 파 꿈 모습 보고 파 밤 모습 보고 파 밤 모습 보고 파 생각 모습 보고 파 꿈 모습 보고 파 밤
1990s,짙은 어둠 마음 채 듯이 생각 고개 건 얼굴 모진 말 멍 방황 눈 너에게로 또다시 날 모진 말 멍 방황 눈 너에게로 또다시 날
1990s,바다 사람 한가지 추억 바다 바닷가 슬픈 추억 때문 바다 바다 미소 미 소라 사랑 그리워 바다 마음 곳 바다 노을 사람 생각 사랑 건지 바다 한번쯤 미 소라 얼굴 사랑 바다 바다 바다 미소 미 소라 사랑 그리워 바다 마음 곳 바다
1990s,바람 어머님 눈물 가슴속 세상 민중 넋 주인 세상 자유 쑥물 강물 바람 창살 아래 곳 바람 창살 아래 곳 창살 아래 곳
1990s,노을 지 하늘 잡지 추억 세상 쯤 말 슬픔 안고 발 하늘 너머 어제 내일 얘기 발 하늘 너머 어제 내일 얘기 하늘 너머 어제 내일 얘기 내일 얘기 내일 얘기
1990s,파도 소리 갈매기 바닷 바람 가슴 여름 크리스마스 기억 조각 마음 처음 가로등 어둠 거리 저 석양 대답 뿐 사랑 이제 꿈속 사람 크리스마스 눈 눈물 모래 위 발자욱 눈 메아리 목소리 구름 뿐 사랑 이제 꿈속 사람 크리스마스 눈 눈물 바다 어깨 기적 소리 파도 소리 갈매기 바닷 바람 가슴 여름 크리스마스 기억 조각 마음
1990s,한동안 옛사람 길가 존대말 반말 얘기 옛사람 딴사람 척 가슴 주책 말문 입 눈 입장 다 바다 바 두비 두비 답 닷 다 바다 바 두비 두비 다 바다 바다 한동안 옛사람 길가 존대말 반말 얘기 가슴 주책 말문 입 눈 입장 다 바다 바 두비 두비 답 닷 다 바다 바 두비 두비 다 바다 바다 존대말 반말 얘기
1990s,어젯밤 전화 속 목소리 마디 귓가 목소리 얘기 마음 모습 외면 사랑했나봐 사랑 사랑했나봐 대만 사랑 사랑했나봐 날 사랑했나봐 눈앞 어둠 서서 수화기 얘기 마음 모습 외면 사랑했나봐 사랑 사랑했나봐 대만 사랑 사랑했나봐 날 사랑했나봐 눈앞 어둠 눈앞 어둠
1990s,처음 세상 거 뿐 사랑 이유 터널 아픔 오늘 마음 곳 눈물 화분 그리움 이별 슬픔 소용 세상 현실
1990s,이제 하네 사랑 채 이제 길 가야 하네 곳 가려 하네 별 밤 창가 얼굴 사랑 그날 기억 사랑 그날 기억 이제 안녕 별 밤 창가 얼굴 사랑 그날 기억 사랑 그날 기억 사랑 그날 기억 사랑 그날 기억 사랑 그날 기억 사랑 그날 기억
1990s,어둠 불빛 거리 잠 이드 인형 마음 디아 인형 외로움 비 날 추억 비 인형 마음 디아 인형 외로움 밤 인형 마음 디아 인형 외로움
1990s,나이 이제 그리움 가슴 사람 사랑 사람 상심 이제 가슴 시리 기억 사람 사랑 사람 상심 이제 가슴 시리 기억 사람 나이 이제 그리움 가슴 사람
1990s,말 어젯 밤 맹세 말 번 뿐 날 위 마음 마음 말 말 사랑 죄 인가 말 어젯 밤 맹세 말 번 뿐 날 위 마음 마음 말 말 사랑 죄인 가요 마음 마음 말 말 사랑 죄 인가
1990s,세상 곳 얼굴 눈 내 손 미소 눈앞 아르 말 로라 로라 로라 로라 로라 사랑 로라 이별 곳 로라 미소 눈앞 아르 말 로라 로라 로라 로라 로라 사랑 로라 이별 곳 로라
1990s,바람 벌판 솔잎 눈물 가슴 가슴 햇살 우리들의 사랑으로 곳 손 밀어 바람 벌판 솔잎 눈물 가슴 가슴 햇살 우리들의 사랑으로 곳 손 밀어 우리들의 사랑으로 곳 손 사랑으로 곳 손 밀어 라라 라라 라라 라라 라라 우리들의 사랑으로 곳 손 밀어
1990s,맘 속 간직 사랑 모습 불빛 속 눈 생각 곁 사진 속 미소 사랑 눈길 눈빛 세월 마음속 곳 불빛 외로움 속 마음 곳 모습 기억 속 추억 곁 사진 속 미소 사랑 눈길 눈빛 세월 마음속 곳 불빛
1990s,푸른 바다 파도처럼 모습 마음속 속 꿈 기억 속 희망 속 가슴 행복 마음속 거 너에게 말 꺼 내일 고운 손 꿈 이대로 모습 사랑 보일 희망 사랑 꿈속 해 모래 바람 이름 물새 날개 짓 소리 여름 바닷가 아침 그림자 모습 위 하늘 달빛 노을 진 바다 가운데 선 마음 꿈 사랑이란 눈 속 너에게 말 꺼 내일 고운 손 꿈 이대로 모습 사랑 보일 희망 사랑 꿈속
1990s,별빛 얼굴 기러기 하늘 보나 그리움 눈 언덕 파란 달빛 나린 뜨락 바람 나뭇잎 그리움 조각배 가슴 겨울 영상 내 사랑 뒷모습 바람 나뭇잎 그리움 조각배 가슴 겨울 영상 내사랑 뒷모습 뒷모습
1990s,세상 사람 사람 사람 여행 비밀 얘기 뿐 아름다운 사람들 인걸 적 지금 손해 거짓말 매력 텐 데 세상 사람 아름다운 사람들 적 지금 손해 거짓말 매력 텐 데 세상 아이들 사랑 아이들 세상 어른 자랑 어른 세상 사람 아름다운 사람들
1990s,만남 이별 언제나 타인 바람 패인 상처 먼지 바람 세상 끝 눈물 그리움 바람 패인 상처 먼지 바람 세상 끝 눈물 그리움
1990s,음 짜증 날 생각 동네 올해 처음 비 해 음 잘못 동네 올해 처음 비 거리 거리 거리 사람 사람 사람 사람 소녀 처음 곳 말도 온종일 곳 해 음 기억 동네 올해 처음 비 거리 거리 거리 사람 사람 사람 사람 소녀 처음 곳 말도 온종일 곳 해 음 잘못 동네 올해 처음 비 사람 사람 사람 사람 사람 사람
1990s,콩밭 메 아낙네 배 적삼 설움 포기 눈물 심 누나 홀어머니 날 칠갑산 산마루 산새 소리 가슴 속 간주 중 반복
1990s,까닭 가요 눈물 슬픔 한숨 까닭 가요 아픔 바 미소 사랑 생각 웃음 내 마음 까닭 가요 눈물 슬픔 미소 사랑 생각 웃음 내 마음 영원 거울
1990s,이제 채 입맞춤 슬픔 길 가슴 외로움 오오 그날 사랑 하리 사랑 하리 오오 사랑 하리 이제 사랑 모진 세월 뒤 그날 사랑 하리 사랑 하리 오오 사랑 하리 이제 사랑 모진 세월 뒤 채 입맞춤 슬픔 길 가슴 외로움 오오 그날 사랑 하리 사랑 하리 오오 사랑 하리 이제 채 입맞춤 슬픔 길 가슴 외로움
1990s,숨결 가슴 그대에게 그대에게 그대에게 가슴 말 한번쯤 생각 생각 그대에게 그대에게 그대에게 가슴 말 한번쯤 생각 오오 오오 한번쯤 생각 생각 오오 오오
1990s,사랑 날 웃음 뒤 철이 욕심 미련 건 집 약속 대만 웃음 돌아오는 길 가지 사이 날 기억 내 사랑 내 곁에 있어 세상 뿐 오직 그대만 날 안길 곳 가지 사이 날 기억 내 사랑 내 곁에 있어 세상 뿐 오직 그대만 날 안길 곳 안길 곳 안길 곳
1990s,자리 길 듯 번 기억 그만큼 뿐 속 어떤 만남 준비 기억 얘기 이별 눈 사랑 그만큼 뿐 속 어떤 만남 준비 기억 얘기 이별 눈 사랑
1990s,장미 진한 향기 별빛 탁 자위 사진 목소리 말 미소 주네 사랑은 마음 미소 이별 슬픔 생각 미 소속 모습 생각 추억 사랑은 마음 미소 이별 슬픔 생각 미소 속에 비친 그대 모습 생각 추억 미 소속 모습 생각 추억
1990s,바람 날 손 미소 눈 으 흠 지금 후회 뒷모습 두려움 으 흠 가슴 눈물 이제 마음 사진 한장 남지 맘 번 원망 사람 으 흠 맘 걷기 기억 으 흠 눈물 이제 마음 사진 한장 남지 맘 눈물 이제 마음 사진 한장 남지 맘
1990s,모자 웃음 간직 파란 웃음 뒤 눈물 날 모습 넥타이 말 사람 웃음 술 사랑 속 진실 슬픔 날 모습 넥타이 말 사람 웃음 술 사랑 속 진실 슬픔
1990s,사랑 슬픔 목이 방구석 꼬마인형 눈 창 밖 바라 처음 느낌 가슴속 사랑 마음 갈수 산하 노을 창 입술 사랑은 모습 이제 슬픔 마음 사랑 말 마지막 웃음 하늘 노을 창 입술 사랑은 모습 이제 슬픔 마음 사랑 말 마지막 웃음 이제 슬픔 마음 사랑 말 마지막 웃음
1990s,생각 예감 별이 말 눈물 별이 이유 사랑 눈물 모습 사랑 이별 끝 이유 사랑 눈물 모습 사랑 이별 끝
1990s,눈물 바람 어깨 가슴속 추억 밤 날 어둠 속 사람 사랑 기억 곁 번 번 그날 말 슬픔 사랑해 번 번 가슴 눈물 너에게 번 내 사랑 번 번 가슴 눈물 너에게 번 내 사랑 번 내 사랑
1990s,마음 이제 한번쯤 기억 할거 모습 한번쯤 사람 영화 속 골목 바보 모습 짐작 마음 한번쯤 사람 영화 속 골목 바보 모습 짐작 마음 마음 일수 마음 짐작 마음
1990s,가슴 어둠 외로움 잠 못 인형 먼지 속 추억 속 이제 날 영화 속 주인공 날 노래 기억 곁 모습 우울 하루 이제 미소 날밤 날 날 영화 속 주인공 날 노래 기억 곁 모습 우울 하루 이제 미소 날밤 날 날 영화 속 주인공 날 노래 기억 곁 모습 우울 하루 이제 미소 날밤 날 날 영화 속 주인공 날 노래 기억
1990s,만남 우연이 아니야 바램 운명 바랄 영원 태 후회 바보 눈물 사랑해 사랑해 너를 사랑해 마라 후회 바보 눈물 사랑해 사랑해 너를 사랑해 사랑해 사랑해 너를 사랑해
1990s,거리 날 마음 불 듯 이름 이제 거 나날 사람 채 사람 이별 테 마음 불 듯 이름 이제 거 나날 사람 채 사람 이별 테 사람 채 사람 이별 테
1990s,거 이유 질 곳 한숨 발걸음 테 속 외로움 예전 건 세상일 한숨 발걸음 테 속 외로움 예전 건 세상 뿐 속 외로움 예전 건 세상일
1990s,모습 거 영원 꿈 이제 생각 날 서로 가슴속 바램 마음 사랑 길 거 외로움 건 모습 생각 날 서로 가슴속 바램 마음 사랑 길 거 외로움 건 모습 마음 사랑 길 거 외로움 건 모습 내 마음
1990s,아침 눈 게 내 주위 방 어젯밤 꿈 길옆 거리 가슴 곳 꿈 거 벽돌 길 모퉁이 라타 나스 웃음 건 채 생각 내사랑 이제 하늘 구름 위 채 숨 생활 꿈 거리 일거 벽돌 길 모퉁이 라타 나스 웃음 건 채 생각 내 사랑 이제 하늘 구름 위 채 숨 생활 꿈 거리 일거 내사랑 이제 하늘 구름 위 채 숨 생활 꿈 거리 일거
1990s,사람 속 얼굴 말 듯이 길만 길 친구 필요 얘기 친구 일수 거 웃음 느낌 미소 지 따스함 이제 길 친구 필요 말 듯이 길만 웃음 느낌 미소 지 따스함 이제 웃음 느낌 미소 지 따스함 이제
1990s,너에게 전화 수화기 넌 거 마음 곳 마지막 작별 순간 눈 속 말 말 하진 마음 곳 너에게 불안 미래 말 내 게로 꺼 품 눈 꺼 마음 곳 만남 기쁨 슬픔 순간 내일 생각 기쁨 너에게 불안 미래 말 내 게로 꺼 품 눈 꺼 마음 곳 만남 기쁨 슬픔 순간 내일 생각 기쁨 만남 기쁨 슬픔 순간 내일 생각 기쁨
1990s,말도 커피잔 말 거 넌 작정 마음 꿈 눈 이제 서로 길 가야 기쁨 슬픔 넌 가야 밤 가야 생각 모습 보고 파 꿈 모습 보고 파 밤 이제 서로 길 가야 기쁨 슬픔 넌 가야 밤 가야 생각 모습 보고 파 꿈 모습 보고 파 밤 곁 곳 별 밤 밤 하늘 아래 남은 그리움 추억 간직 모습 보고 파 밤 모습 보고 파 생각 모습 보고 파 꿈 모습 보고 파 밤 모습 보고 파 밤 모습 보고 파 생각 모습 보고 파 꿈 모습 보고 파 밤
1990s,가슴 곁 눈 서면 날 세상 어둠 모습 이별 마지막 눈빛 사랑 이제 눈물 만남 이별 말 이제 이제 사랑은 여행 추억 영원 꿈 세상 어둠 모습 이별 마지막 눈빛 사랑 이제 눈물 만남 이별 말 이제 이제 사랑은 여행 추억 영원 꿈 이제 사랑은 여행 추억 영원 꿈
1990s,살 꺼 골목 사랑 이제 뒤 친구 슬픔 뿐 사람 아침 살 꺼 사랑 눈물 이제 우연 친구 슬픔 뿐 사람 아침
1990s,곳 찻집 오늘 세번 날 마음 가슴 구두 쇼 윈도 날 멀 모습 곳 전 장미꽃 한송이 말 머리 속 모습 하늘 구름 솜사탕 번 오늘 고백 용기 날 분 어제 밤 시계 바늘 머리 바람 오늘 길 곳 전 장미꽃 한송이 말 머리 속 모습 하늘 구름 솜사탕 번 오늘 고백 용기 나나 나나 나나 나나 나나 나나 나나 나나 나나 나나 머리 속 모습 하늘 구름 솜사탕 번 오늘 고백 용기 용기
1990s,곁 말 아픔 채 세월 밤 바람 속 그리워 수화기 가슴 유리창 사이 모습 오늘 오늘 목소리 다짐 수화기 너를 사랑해 눈물 말 대답 손 동전 개 뿐 수화기 너를 사랑해 눈물 말 대답 손 동전 개 뿐 수화기 너를 사랑해 눈물 말 대답 손 동전 개 뿐
1990s,말 어젯 밤 맹세 말 번 뿐 날 위 마음 마음 말 말 사랑 죄 인가 말 어젯 밤 맹세 말 번 뿐 날 위 마음 마음 말 말 사랑 죄인 가요 마음 마음 말 말 사랑 죄 인가
1990s,날 날 무어 의미 필요 모습 그리워 해 말 사랑 말 앞 이제 날 날 그리워 해 말 사랑 말 앞 이제 무어 의미 필요 모습
1990s,어제 하루 종일 비 먼지 사이 귓가 음성 빗속 눈물 그리움 가슴 외로움 사랑 사랑 뿐 곁 밖 사랑 눈물 그리움 가슴 외로움 사랑 사랑 뿐 곁 밖 사랑 사랑
1990s,너에게 이야기 마음 필요 넌 사랑 거 사랑 의심 사랑이란 건 생각 아냐 동화 속 왕자 현실 거 오늘 사랑 말 넌 친구 사랑 인지 생각 사랑 자존심 상해 이기 생각 뿐 건 건 곁 거 곁 거 이제 마음 이제 품 이제 품 거 거 고민 남자 세상 여자 사랑 안식처 과거 그늘 하루 종일 생각 전화 하루 종일 생각 틈 얘기 약속 사람 양 얘기 카페 친구 수다 이제 사랑 사람 가슴 자존심 사랑 자존심 거 마음 마음 한구석 단장 한구석 단장 현재 충실
1990s,이제 음성 고운 눈동자 커피잔 기억 곁 아쉬움 눈물 공원 벤치 손 입맞춤 날 이제 기억 밤 적시 말 말 채 눈물 남은 빈자리 거 공원 벤치 손 입맞춤 날 이제 기억 밤 적시 말 말 채 눈물 남은 빈자리 거 말 말 채 눈물 남은 빈자리 거
1990s,거리 바람 소리 마음 이여 듯 타오 거리 네온 품 님 뒷모습 꿈 힘 발길 님 모습 인생 세월 테 힘 거리 바람 소리 마음 이여 듯 타오 거리 네온 품 님 뒷모습 꿈 힘 발길 님 모습 인생 세월 테 힘
1990s,품 눈가 주름 가슴 꿈 눈물 여자 순정 원망 채 세월 맹세 고생 생명 날 사랑 하리 여자 순정 원망 채 세월 맹세 고생 생명 날 사랑 하리
1990s,어깨 길 곳 눈 맘 날 눈물 말 얘기 얘기 거 어깨 길 곳 눈 말 얘기 얘기 거 맘 날 눈물
1990s,모습 뒤 얘기 미련 사랑 말 얘기 간 길 이별 이별 내사랑 굿바이 굿바이 행복 맘 사랑 말 진실 이해 내사랑 굿바이 굿바이 행복 맘 내 사랑 거 얘기 간 길 이별 이별 내사랑 굿바이 굿바이 행복 맘 사랑 말 진실 이해 내사랑 굿바이 굿바이 행복 맘 사랑 거 내사랑 굿바이 굿바이 행복 맘 사랑 말 진실 이해 내사랑 굿바이 굿바이 행복 맘 사랑 거
1990s,도시 곳 곳 여기저기 문턱 눈물 길 꿈 길 세상 숲 늪 말 사람 고향 빌딩 속 골목 눈물 별 마음 꿈 노래 부른다 홀로 눈 고향 향기 별 마음 꿈 노래 부른다 세상 숲 늪 말 홀로 눈 고향 향기 고향 향기
1990s,시청 앞 지하철 역 신문 사려 모습 발 틈 곳 이름 넌 모습 너에게 누 군가 발 웃음 말 얘기 이야기 날씨 이야기 추억 엄마 미소 생활 허탈 어깨 짓 언가 날 열매 영혼 그날 노래 귀 생각 인사 채 사람 속 모습 그날 마음 날 열매 영혼 그날 노래 귀
1990s,어느날 마음속 사랑 친구 사랑 바람 거리 나뭇잎 날 그날 처음 속 숨 그리움 세월 속 사랑 사랑 고백 귓가 바람 바람 거리 나뭇잎 날 그날 처음 속 숨 그리움 세월 속 사랑 사랑 고백 귓가 바람
1990s,날 말 욕심 오늘 웬일 사랑 키스 얼굴 눈 입술 파란 빛깔 파도 말도 화 생각 말 얘기 뿐 날 말 욕심 오늘 웬일 사랑 키스 말도 화 생각 말 얘기 뿐 말 얘기 뿐 말
1990s,빈틈 사랑 사랑 어둠 시도 기억 속으로 안개비 안개비 홑이불 시 각거리 가슴 조미 그리움 세상 고요한 품 시도 기억 속으로 안개비 안개비 홑이불 시 각거리 가슴 조미 그리움 세상 고요한 품
1990s,곁 화요일 비 빗 속 눈물을 감추고 날 추억 길 도시 불 빛 그리움 기억 화요일 비 날 추억 길 도시 불 빛 그리움 기억 화요일 비 화요일 비
1990s,추억 책장 아쉬움 속죄 이야기 창틀 먼지 가슴 이제 미소 비바람 봄 여름 눈물 꽃 피고 낙엽 남은 그리움 세월 잠 꿈 이야기 창틀 먼지 가슴 이제 미소 비바람 봄 여름 눈물 꽃 피고 낙엽 남은 그리움 세월 잠 꿈 잠 꿈
1990s,투명 눈빛 부담 말 창가 너에게 거 벽 그림 표정 거리 이별 여행 너에게 기억 이제 변명 번 너에게 얘기 말 사랑해 너에게 거 벽 그림 표정 거리 이별 여행 너에게 기억 이제 변명 번 너에게 얘기 말 사랑해 너에게 거 너에게 기억 이제 변명 번 너에게 얘기 말 사랑해 너에게 거
1990s,위스키 브랜디 블루진 하이힐 콜라 발렌타인 데이 머리 눈 사람 목 넥타이 틈 의미 립스틱 담배 연기 테이블 위 보석 색깔 칵테일 촛불 사이 피아노 밤 사람 토론 남자 술 여자 마음 체 목소리 얘기 하네 사람 한밤 재즈 카페 노래 사람 문 구석 자리 숙녀 마지막 메모 노래 눈물 노래 사연 초록색 구두 위 사람 한밤 재즈 카페 노래 사람 한밤 재즈 카페 노래
1990s,사랑한다면 지금 사랑 가슴 사랑 눈 모습 아픔 눈 앞 모습 서면 마음 사랑한다면 눈 모습 아픔 눈 앞 모습 서면 마음 사랑한다면 지금 사랑 가슴 사랑
1990s,모습 마음 잘못 눈빛 사랑 때문 이별 변명 오늘 밤하늘 눈빛 사랑 때문 이별 변명 오늘 밤하늘 모습 마음 잘못
1990s,아스라이 노을 속 슬픈 추억 속 시절 소망 가슴속 남은 촛불 내일 미소 하나로 세상 품 곁 마음 그리워 미소 안개 태양 날 속 생각 추억 밤 하늘 철새 내일 미소 하나로 세상 품 곁 마음 그리워 미소 미소
1990s,슬픔 바 손길 이제 사랑 눈물 거짓 날 기억 무심 한동안 아픔 끝 테 지 건 마찬가지 냉정 눈 한동안 아픔 끝 테 지 건 마찬가지 냉정 눈 건 마찬가지 이제
1990s,어느날 처음 사랑 고개 모습 천사 맘 가슴 목소리 귓가 가슴 사랑 사랑은 영화 투유 사랑 말 투유 투유 사랑 간직 맘 가슴 목소리 귓가 가슴 사랑 사랑은 영화 투유 사랑 말 투유 투유 사랑 간직 투유 사랑 간직
1990s,창살 편 아침 해 손길 곳 얼굴 실 바람 소리 꿈속 이름 어머니 짙은 어둠 조각 달빛 쇠창살 어머니 눈물 어머니 꽃 젊음 미싱 대 위 손 간직 이름 불빛 아래 뜬눈 노동 나날 눈동자 속 이름 어머니 새벽 별 가슴 속 이름 어머니 어머니
1990s,바람 서 글 피 날 무화과 날 이서 무화과 그늘 지난날 생각 이야기 사랑 그 여자 사랑 남자 지금 지금 어느 하늘 아래서 사랑 햇살 가을날 뚝 여미 어진 마음 이만 목소리 눈물 이야기 사랑 그 여자 사랑 남자 지금 지금 어느 하늘 아래서 사랑 바람 서 글 피 날 무화과 날 이서 무화과 그늘 지난날 생각 이야기 사랑 그 여자 사랑 남자 지금 지금 어느 하늘 아래서 사랑 사랑 그 여자 사랑 남자 지금 지금 어느 하늘 아래서 사랑
1990s,한동안 곁 부정 진실 사랑 마음 이제 사랑 아픔 가슴 위 아니야 사랑 거 사랑 후회 하진 사랑 가슴 이세상 기쁨 아니야 사랑 거 사랑 후회 하진 사랑 가슴 이세상 기쁨
1990s,선물 가게 포장지 미 소만 할거 생각 착각 뿐 손길 속삭임 사랑 건 아니야 환상 뿐 눈물 거짓 말 손길 속삭임 사랑 건 아니야 환상 뿐 눈물 거짓 말 나나 나나 나나 나나 나나 착각 뿐 미 소만
